flag,changes,last date amended,days per change,days since last change,days per change till current
pablo-enable-bruce-top-banner,11,2023-02-15T03:20:52.000Z,27,29,30
pablo-enable-bruce-card-restriction,8,2023-02-15T03:21:10.000Z,32,29,35
pablo-enable-mas-on-clients,13,2023-02-15T03:20:32.000Z,23,29,25
payment-enable-psp-promos-pill-ui,30,2023-03-15T04:30:51.000Z,7,1,7
payment-enable-new-promos-pill-ui,28,2022-11-11T02:54:23.000Z,5,125,10
pablo-bypass-alfred-processing,17,2022-08-08T06:18:28.000Z,1,220,14
pablo-enrich-hosted-page-url-courier-customer,2,2022-09-09T09:44:51.000Z,0,188,94
wallet-show-pandapay-logo,12,2023-01-31T04:25:27.000Z,11,44,15
pablo-allow-mixed-payment-with-cash,15,2023-02-17T04:09:28.000Z,9,27,11
pablo-wallet-cashback-amount-earned,10,2023-02-23T06:28:37.000Z,27,21,29
pablo-wallet-cashback-disburse,27,2023-03-04T22:54:58.000Z,11,11,12
pablo-wallet-enable-matchmove,2,2022-11-16T08:15:29.000Z,0,120,61
pablo-wallet-disable-alfred-migration,1,2022-05-11T08:05:19.000Z,0,309,309
pablo-deploy-enable-payment-expiry-worker,2,2022-11-01T07:49:02.000Z,0,135,67
pablo-wallet-topup-disabled,19,2022-12-20T01:23:39.000Z,12,86,16
yemek-balance-migration,7,2022-04-28T06:05:41.000Z,3,322,49
pablo-enable-mas-validation,12,2023-03-15T03:08:43.000Z,27,1,27
yemek-sap-with-oauth,3,2022-04-12T08:49:57.000Z,0,338,112
wallet-send-customtype-on-create-topup-intent,6,2022-05-11T02:38:47.000Z,4,309,56
yemek-refund-to-source-for-mahalle-and-banabi,4,2022-04-14T03:23:47.000Z,0,336,84
pablo-enable-all-cod-circuit-breaker,9,2022-10-29T10:55:59.000Z,22,138,37
pablo-enable-bruce-hosted-page-url-handling,7,2022-07-22T02:15:16.000Z,13,237,47
disable-cod-capture-call,5,2022-05-18T01:19:26.000Z,0,302,60
pablo-enable-mas-restriction-identifiers,13,2023-02-15T03:19:49.000Z,21,29,24
pablo-enable-characteristics-engine,10,2023-02-15T03:19:29.000Z,27,29,30
pablo-enable-payment-rules,12,2023-03-16T09:19:25.000Z,14,0,14
pablo-wallet-show-auto-top-up-nudge,1,2022-05-31T04:11:31.000Z,0,289,289
pablo-enable-variable-pricing,17,2023-02-02T03:09:02.000Z,14,42,17
pablo-wallet-invoice-enable-ettn-callback,4,2022-09-29T09:00:51.000Z,29,168,71
pablo-handle-manual-topup-withdrawal,3,2022-06-14T06:20:04.000Z,0,275,91
pablo-filter-out-non-balance-in-transaction-history,7,2023-03-07T01:46:51.000Z,36,9,38
pablo-disable-refund-retry-cron,18,2022-11-22T04:34:44.000Z,10,114,16
pablo-wallet-upsell-autotopup-enabled,1,2022-06-22T06:22:21.000Z,0,267,267
yemek-enable-sap-invoice-retry,4,2022-06-30T01:40:58.000Z,1,259,66
pablo-wallet-balance-limits-return-all,4,2022-08-24T09:43:16.000Z,11,204,62
pablo-wallet-cashback-email,2,2023-01-17T06:22:20.000Z,93,58,122
pablo-transaction-history-show-cash-change,6,2022-08-05T04:57:11.000Z,3,223,41
pablo-transaction-history-show-withdrawal,9,2022-09-26T09:57:18.000Z,8,171,27
yemek-enable-transfer-invoice-format,8,2022-08-29T08:31:33.000Z,0,199,25
pablo-attempt-capture-before-refund,18,2022-11-21T08:44:10.000Z,4,115,11
pablo-enable-adjustment-partial-refund-fallback,17,2023-03-16T10:32:28.000Z,8,0,8
pablo-wallet-cmt-upsell-inline-topup,7,2022-12-01T04:34:14.000Z,1,105,16
pablo-enable-wallet-balance-cache,10,2022-12-16T08:53:44.000Z,0,90,9
pablo-wallet-enable-balance-cache-invalidation,7,2022-12-16T07:55:00.000Z,0,90,13
pablo-enable-cybersource-vendor-local-legal-name,14,2023-03-01T06:49:20.000Z,5,15,6
pablo-double-payment-validation,3,2023-02-15T08:49:09.000Z,12,29,22
pablo-wallet-preference-sync-worker,11,2022-11-23T02:08:18.000Z,5,113,16
pablo-wallet-preference-sync-insert-balance,4,2022-11-23T01:58:17.000Z,15,113,44
pablo-no-filterpaymentmethods-if-empty,16,2022-09-20T09:04:42.000Z,0,177,11
pablo-send-paymentcontext-to-alfred,16,2023-03-16T09:52:47.000Z,12,0,12
pablo-transaction-history-show-cashback-clawback,3,2023-01-17T06:22:39.000Z,39,58,58
pablo-enable-wallet-pin,6,2022-11-03T08:04:45.000Z,6,133,28
wallet-enable-onboarding-v2,12,2022-11-23T02:29:48.000Z,4,113,14
pablo-generic-credit-card-topup-rollout,16,2023-01-09T03:44:45.000Z,5,66,9
pablo-enable-pmfilterer-directpayments,30,2023-03-10T03:22:57.000Z,3,6,3
pablo-enable-pmfilterer-directpayments-mit,2,2022-12-06T05:32:34.000Z,0,100,50
pablo-cod-refund-skip-cancel-call,14,2023-02-02T06:55:10.000Z,4,42,7
pablo-enable-handle-skipped-states,10,2023-01-16T03:39:03.000Z,4,59,10
pablo-disable-mixed-payment,14,2023-02-17T06:49:16.000Z,20,27,22
pablo-enable-alfred-purchase-client-rate-limit,5,2022-05-17T09:46:15.000Z,0,303,60
pablo-block-multiple-ongoing-payments-for-customer,2,2022-05-23T01:40:37.000Z,0,297,148
pablo-enable-hotfix-invoice-app-validation,11,2023-02-13T07:19:38.000Z,20,31,23
pablo-ktb-psp-degradation-message,7,2022-09-05T06:44:58.000Z,0,192,27
pablo-wallet-disable-refund-wallet-cod,16,2023-03-03T09:02:53.000Z,9,13,9
pablo-send-filter-payment-methods-on-direct-payment-confirm,13,2023-03-02T08:07:34.000Z,9,14,10
pablo-pandago-c2c-cod-as-preferred,12,2022-12-01T03:53:31.000Z,0,105,8
masterpass-yemeksepeti,27,2023-02-20T10:08:35.000Z,3,24,3
